fecha_entrada,nombre_producto,id_producto,unidades,precio_unitario,categoria
2025-02-14,Dispositivo 88,P088,152,1054,oficina
2025-02-26,Elemento 89,P089,143,2035,electrodomestico
2025-02-25,Componente 90,P090,149,2272,electrodomestico
2025-02-06,Producto Genérico 91,P091,192,1240,redes
2025-02-09,Dispositivo 92,P092,123,3343,seguridad
2025-02-22,Producto Genérico 93,P093,177,2509,electrico
2025-02-14,Sistema 94,P094,110,798,electronica
2025-02-16,Sistema 95,P095,178,2260,iluminacion
2025-02-07,Elemento 96,P096,107,829,oficina
2025-02-28,Sistema 97,P097,175,2540,iluminacion
2025-02-26,Accesorio 98,P098,182,3084,redes
2025-02-26,Dispositivo 99,P099,250,849,oficina
2025-02-01,Elemento 100,P100,233,1656,electronica
2025-02-23,Equipo 101,P101,152,1737,oficina
2025-02-19,Sistema 102,P102,226,3518,iluminacion
2025-02-16,Gadget 103,P103,207,53,seguridad
2025-02-05,Sistema 104,P104,98,2198,redes
2025-02-15,Artículo 105,P105,110,100,computacion
2025-02-12,Dispositivo 106,P106,171,2505,oficina
2025-02-19,Herramienta 107,P107,246,1082,oficina
2025-02-09,Componente 108,P108,248,3252,electrodomestico
2025-02-09,Accesorio 109,P109,99,2535,electrodomestico
2025-02-04,Equipo 110,P110,106,2101,electrico
2025-02-12,Producto Genérico 111,P111,118,3096,redes
2025-02-17,Componente 112,P112,81,1973,computacion
2025-02-03,Equipo 113,P113,207,3947,electronica
2025-02-25,Sistema 114,P114,117,327,electronica
2025-02-12,Artículo 115,P115,169,1225,muebles
2025-02-21,Herramienta 116,P116,121,74,seguridad
2025-02-15,Gadget 117,P117,139,2709,redes
2025-02-28,Accesorio 118,P118,221,2312,electronica
2025-02-05,Componente 119,P119,147,3798,computacion
2025-13-03,Lavadora Samsung 9kg,P007,100.5,1450,electrodomestico
2025/01/04,Refrigerador LG 300L,P008,118,2100,electrodomesticos
2025-02-30,Microondas Panasonic 25L,P009,-5,420,electrodomestico
,Cafetera Oster 1.5L,P010,125,310,electrodomestico
2025-01-07,,P011,130,310,electrodomestico
2025-01-08,Televisor Sony 55",p012,115,3500,electronica
2025-01-09,Parlante Bluetooth JBL,P013,150,-180,electronica
2025-01-10,Aspiradora Xiaomi 2L,P-014,110,990,electrodomestico
2025-01-11,Smartwatch Apple Series 9,P015,1,399,99,electronica
2025-01-12,TV Samsung 85",P016,,3500,electronica
